id,bedrooms,bathrooms,accommodates,beds,minimum_nights,instant_bookable,hot_tub,pool,sauna,gym,ac,ev_charger,free_parking,waterfront,fire_pit,bbq,patio,workspace,sound_system,pets_allowed,txt_luxury,txt_renovated,txt_modern,txt_views,txt_charm,txt_private,txt_walkable,square_feet_known,square_feet,year_built_known,year_built,rc_proptype_Apartment,rc_proptype_Condo,rc_proptype_Land,rc_proptype_Manufactured,rc_proptype_Multi-Family,rc_proptype_Single Family,rc_proptype_Townhouse,rc_proptype_unknown,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_grouped_apartment_condo,property_type_grouped_entire_home,property_type_grouped_other,property_type_grouped_private_room,revenue_label
155305,1.0,1.0,2,1.0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,750.0,0,1966.0,1,0,0,0,0,0,0,0,True,False,False,False,True,False,False,13248.0
197263,1.0,1.0,2,1.0,2,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,True,792.0
209068,1.0,1.0,4,2.0,30,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,10800.0
314540,4.0,2.0,6,5.0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1440.0,1,1995.0,0,0,0,1,0,0,0,0,True,False,False,False,True,False,False,9282.0
483384,1.0,1.0,3,1.0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,23712.0
483396,1.0,2.0,2,1.0,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,858.0
621243,1.0,1.0,2,2.0,30,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,32880.0
660702,1.0,1.0,4,2.0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,15045.0
674894,1.0,1.0,2,1.0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,800.0,0,1966.0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,True,312.0
815068,2.0,1.0,4,2.0,30,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1120.0,0,1966.0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,3840.0
